annee,boite,lieu,modele,moteur,nbr_km,photo,prix,version
11-2021,Automatique,SPOTICAR STELLANTIS &YOU LOMME,Citroën C3 Aircross,Diesel,30 757 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-AIRCROSS-2813307_1.JPG,22 290 €,BlueHDi 120 S&S EAT6 Shine Pack
01-2019,Manuelle,SPOTICAR STELLANTIS &YOU ROUEN,Peugeot 3008,Essence,48 255 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-3008-2813305_1.JPG,22 490 €,Puretech 130ch S&S BVM6 GT Line
06-2018,Manuelle,SPOTICAR STELLANTIS &YOU LOMME,Citroën C3,Essence,17 500 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-2813297_1.JPG,11 990 €,PureTech 68 Feel
06-2019,Automatique,SPOTICAR STELLANTIS &YOU ROUEN,Citroën C5 Aircross,Diesel,152 205 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C5-AIRCROSS-2813294_1.JPG,18 980 €,BLUEHDI 180 S&S EAT8 SHINE
07-2018,Manuelle,SPOTICAR STELLANTIS &YOU LOMME,Citroën C1,Essence,30 830 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C1-2813292_1.JPG,10 690 €,VTi 72 Feel
06-2018,Manuelle,SPOTICAR STELLANTIS &YOU LOMME,Citroën C3,Essence,33 600 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-2813289_1.JPG,11 490 €,PureTech 68 Feel
05-2022,Manuelle,SPOTICAR STELLANTIS &YOU ROUEN,Opel Corsa,Essence,12 946 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/OPEL-CORSA-2813287_1.JPG,17 990 €,1.2 Turbo 100 ch BVM6 Elegance Business
05-2018,Manuelle,SPOTICAR STELLANTIS &YOU LOMME,Citroën C3,Essence,22 348 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-2813286_1.JPG,9 590 €,SOCIETE PURE TECH 68 FEEL
10-2022,Manuelle,SPOTICAR STELLANTIS &YOU ROUEN,Peugeot 208,Essence,8 762 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2813283_1.JPG,19 490 €,PureTech 100 S&S BVM6 Allure
04-2019,Automatique,SPOTICAR STELLANTIS &YOU LOMME,Citroën C5 Aircross,Essence,76 427 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C5-AIRCROSS-2813277_1.JPG,23 290 €,PureTech 180 S&S EAT8 Feel
03-2021,Automatique,SPOTICAR STELLANTIS &YOU ROUEN,Nissan Juke,Essence,23 306 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/NISSAN-JUKE-2813278_1.JPG,21 490 €,DIG-T 117 DCT7 N-Design
03-2022,Manuelle,SPOTICAR STELLANTIS &YOU ROUEN,Opel Crossland,Essence,25 967 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/OPEL-CROSSLAND-2813275_1.JPG,18 990 €,1.2 TURBO 110 CH BVM6 GS Line
